Designator,Designation,Package,Quantity
"U10,U9,U13,U8,U7",74LVC8T245,TSSOP-24_4.4x7.8mm_P0.65mm,5
U4,29L3211,PSOP-44_16.9x27.17mm_P1.27mm,1
U5,74LS393,SOIC-14_3.9x8.7mm_P1.27mm,1
U12,RT9193,SOT-23-5_HandSoldering,1
"C13,C12,C11,C10,C9,C8,C7,C3,C2",C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,9
"R3,R4,R1,R2",1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4
U6,74125,SOIC-14_3.9x8.7mm_P1.27mm,1
U3,74LS139,SOIC-16_3.9x9.9mm_P1.27mm,1
U2,FM1808B-SG,SOIC-28W_7.5x17.9mm_P1.27mm,1
U1,74HC74,SOIC-14_3.9x8.7mm_P1.27mm,1
"J1,J2",Conn_01x32_Male,PinSocket_1x32_P2.54mm_Vertical,2
